,Epoch,Training Loss,Training Accuracy,Validation Accuracy,Average Training Speedup,Average Validation Speedup
0,0,0.9815955702215433,0.6875,0.25,1.2904192262577143,0.7770341855056524
1,1,1.0115388445556164,0.6875,0.25,1.2941683232834043,0.7770341855056524
